0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:38 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:55 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:55 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:55 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:55 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:55 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:55 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:56 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:57 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:57 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:57 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:57 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:57 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:57 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:58 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:58 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:58 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:59 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:59 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:59 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:59 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:59 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:30:59 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:31:00 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:31:05 -0800] "POST /Reservation/rest/search/,seattle HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:31:05 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:31:38 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:31:38 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:31:38 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:32:15 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:32:15 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
